
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Wed May 21 2014,Box Score,Oklahoma City Thunder,77,San Antonio Spurs,112,,
Sat May 24 2014,Box Score,Indiana Pacers,87,Miami Heat,99,,
Sun May 25 2014,Box Score,San Antonio Spurs,97,Oklahoma City Thunder,106,,
Mon May 26 2014,Box Score,Indiana Pacers,90,Miami Heat,102,,
Tue May 27 2014,Box Score,San Antonio Spurs,92,Oklahoma City Thunder,105,,
Wed May 28 2014,Box Score,Miami Heat,90,Indiana Pacers,93,,
Thu May 29 2014,Box Score,Oklahoma City Thunder,89,San Antonio Spurs,117,,
Fri May 30 2014,Box Score,Indiana Pacers,92,Miami Heat,117,,
Sat May 31 2014,Box Score,San Antonio Spurs,112,Oklahoma City Thunder,107,OT,
Thu Jun 5 2014,Box Score,Miami Heat,95,San Antonio Spurs,110,,
Sun Jun 8 2014,Box Score,Miami Heat,98,San Antonio Spurs,96,,
Tue Jun 10 2014,Box Score,San Antonio Spurs,111,Miami Heat,92,,
Thu Jun 12 2014,Box Score,San Antonio Spurs,107,Miami Heat,86,,
Sun Jun 15 2014,Box Score,Miami Heat,87,San Antonio Spurs,104,,
